wallet,sRGKAmount,RGKAmount,warmupValue,MIMBONDvalue,MIMRGKBONDvalue,USDCvalue,OLDMIMBONDvalue,OLDMIMRGKBONDvalue,PrivatePresaleValue,PublicPresaleValue,total
0x914C75D3F769d5Fe02961F4f787f81a08D41e75b,1e-9,0.000022892,60.136263552,0.01301663,0,0,0,0,0,0,60.149303075
0xb2AFB6304a774721320FBbD2090E240Ff71b992f,0,0.000080877,79.175927985,0,0,0,0,0,0,0,79.176008862
0x585e7FB934e197011F5B9847E0cB367af367E760,68.55817658,0,0,1.271966229,0,0,0,0,0,0,69.830142809
0x03a77786696b42621C7cCCFe6b8894E3937E02D2,89.45905248,0,72.92806155,0,0,0,0,0,0,0,162.38711403
0xE658f576c4a89635fF886f38484873a3625362B9,0,0,0,0,0,0,0,0,0,0,0
0x6b1Fe17426d4224265cDcA4B3cac3C9d8A86Fa55,204.613855541,0.000038993,0,0,0,0,0,0,0,0,204.613894534
0xbAF554B98339fb0BD10E1A5f825c38aD3eEA4912,91.364729865,0.000022588,0,0,0,0,0,0,0,0,91.364752453
0x149a12f063AFa8E4A1cb721bCAa234F8820A2616,413.449130662,0.000064421,160.577773223,0,0,0,0,0,0,0,574.0269683060001
0xD2887CD8D9EFd954D1d3151D06f9C70541E1E871,1e-9,0,0,6.732097257,0,0,0,0,0,0,6.7320972580000005
0xb8dE31E354F95D83a8344618a5b8a8d46Eb48273,0,0.107590802,0,0,0,0,0,0,0,0,0.107590802
0x9C0Caefdd631a642651d01Fe3835396a61C4881f,0,0,0,0,0,0,0,0,0,0,0
0x4179FB53E818c228803cF30d88Bc0597189F141C,0,0,0,0.632613128,0,0,0,0,0,0,0.632613128
0x4F1E5d77e3E369aBFdB69F31Aa0FbaC7bF1Dac4D,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x9222436d8B8Ac3716B0660507d35073812E14d9c,0,0,0,0,0,0,0,0,0,0,0
0x616Ef24d281624401788Be92C8290D0CDA3cA4a8,33.184079408,8.83356,0,0,0,0,0,0,-3.552713678800501e-15,0,42.017639407999994
0x9619E35Eb9c292888639c1F1712074797c60d9ec,0,0,0,0,0,0,0,0,0,0.2026111109999995,0.2026111109999995
0xaBd53869c56Fc940462bF37fd1f20F59fB0C8942,0,234.458659056,7410.2761,0,0,0,0,0,0,0,7644.734759056
0x4bAba69b8cc45d0121d4E9D33F7005f1B363Ce36,0,0,0,0,0,0,0,0,0,0,0
0x826c7dA64A7407923A724424d47BC2c5827cBa3A,1126.821231341,0.000059172,0,47.651293136,0,29.83039138,0,0,0,0,1204.302975029
0x194f073A16DD2f5AFADC815aDcF42522beB884E8,0,0,0,0,0,0,0,0,0,0,0
0x7326f20e7C774E91C7f2A3971c43296cD3a5FC5d,0,0,33.368025603,0,0,0,0,0,0,0,33.368025603
0x2647050446E6437558C6df9313c412ee97Ba7D19,161.774767272,0.000011162,0,0,0,0,0,0,0,0,161.77477843399998
0x3D6EA71B900688b51c6B67293B414eFBF643Ecc9,76.299496366,0.000087298,0,0,0,0,0,0,0,0,76.299583664
0x529Ed4375eC72E60FC67Ee582152A01786c9a0C7,0,0.000054565,62.33375155,12.662454119,0,0,0,0,0,0,74.996260234
